CustomerId,recency,frequency,total_amount,cluster,is_high_risk
CustomerId_1225,9,1,1000.0,1,0
CustomerId_1226,44,8,10700.0,0,1
CustomerId_1227,14,26,73233.6,1,0
CustomerId_1228,12,5,20000.0,1,0
CustomerId_1229,16,3,-50.0,1,0
CustomerId_1231,37,1,2000.0,0,1
CustomerId_1232,16,1,5000.0,1,0
CustomerId_1233,28,1,1000.0,1,0
CustomerId_1234,54,12,40000.0,0,1
CustomerId_1235,47,6,19000.0,0,1
CustomerId_1236,45,8,8765.0,0,1
CustomerId_1237,29,1,1000.0,1,0
CustomerId_1238,5,5,20000.0,1,0
CustomerId_1240,45,6,34000.0,0,1
CustomerId_1241,26,7,30000.0,1,0
CustomerId_1242,6,152,842504.0,1,0
CustomerId_1244,88,1,5000.0,0,1
CustomerId_1245,5,29,135000.0,1,0
CustomerId_1246,26,19,79000.0,1,0
CustomerId_1247,1,13,60000.0,1,0
CustomerId_1250,4,273,661899.15,1,0
CustomerId_1252,13,19,80000.0,1,0
CustomerId_1253,13,5,20000.0,1,0
CustomerId_1256,33,6,20000.0,1,0
CustomerId_1257,13,12,17025.0,1,0
CustomerId_1258,12,7,30000.0,1,0
CustomerId_1259,69,16,17213.5,0,1
CustomerId_1260,6,9,40000.0,1,0
CustomerId_1262,26,9,10040.0,1,0
CustomerId_1263,54,5,19000.0,0,1
CustomerId_1265,22,97,250500.0,1,0
CustomerId_1266,16,20,9470.0,1,0
CustomerId_1267,25,3,-20.0,1,0
CustomerId_1268,16,1,1000000.0,1,0
CustomerId_1269,76,3,2000.0,0,1
CustomerId_1270,10,33,50904.0,1,0
CustomerId_1271,18,6,5550.0,1,0
CustomerId_1272,54,3,4500.0,0,1
CustomerId_1273,68,6,19000.0,0,1
CustomerId_1274,44,1,5000.0,0,1
CustomerId_1275,1,253,712156.5,1,0
CustomerId_1276,6,86,581500.0,1,0
CustomerId_1277,2,60,160910.0,1,0
CustomerId_1279,54,7,29000.0,0,1
CustomerId_1280,22,44,105203.0,1,0
CustomerId_1281,5,30,180000.0,1,0
CustomerId_1282,13,1,10000.0,1,0
CustomerId_1283,75,19,17905.0,0,1
CustomerId_1285,76,4,2950.0,0,1
CustomerId_1286,17,28,74269.0,1,0
CustomerId_1287,62,7,29000.0,0,1
CustomerId_1288,2,14,16370.0,1,0
CustomerId_1294,5,12,64178.0,1,0
CustomerId_1295,62,15,92150.0,0,1
CustomerId_1296,52,3,-525.0,0,1
CustomerId_1297,65,1,5000.0,0,1
CustomerId_1298,29,20,407980.0,1,0
CustomerId_1299,29,36,216780.0,1,0
CustomerId_13,84,1,-10000.0,0,1
CustomerId_1300,20,6,20000.0,1,0
CustomerId_1301,12,18,90000.0,1,0
CustomerId_1302,25,18,7740285.0,1,0
CustomerId_1303,5,21,100000.0,1,0
CustomerId_1304,20,3,150000.0,1,0
CustomerId_1306,65,61,61860.0,0,1
CustomerId_1307,26,17,253650.0,1,0
CustomerId_1308,35,15,148558.0,1,0
CustomerId_1310,13,1,10000.0,1,0
CustomerId_1311,21,33,41740.0,1,0
CustomerId_1312,19,1,1000.0,1,0
CustomerId_1313,47,6,19000.0,0,1
CustomerId_1316,16,2,30000.0,1,0
CustomerId_1317,10,10,45000.0,1,0
CustomerId_1318,65,7,4986.0,0,1
CustomerId_1320,79,2,10000.0,0,1
CustomerId_1321,63,2,60000.0,0,1
CustomerId_1322,62,6,2950.0,0,1
CustomerId_1323,12,15,60000.0,1,0
CustomerId_1324,5,45,674696.0,1,0
CustomerId_1325,49,5,41280.0,0,1
CustomerId_1326,47,3,13000.0,0,1
CustomerId_1328,23,1,1000.0,1,0
CustomerId_1329,2,7,32000.0,1,0
CustomerId_1330,12,7,40000.0,1,0
CustomerId_1331,19,12,66000.0,1,0
CustomerId_1332,83,2,3000.0,0,1
CustomerId_1335,12,113,200848.5,1,0
CustomerId_1338,77,2,22000.0,0,1
CustomerId_1339,47,5,19000.0,0,1
CustomerId_1341,60,11,21560.0,0,1
CustomerId_1343,52,1,1000.0,0,1
CustomerId_1349,54,7,8000.0,0,1
CustomerId_1351,80,15,95100.0,0,1
CustomerId_1353,22,1,2000000.0,1,0
CustomerId_1355,58,5,10000.0,0,1
CustomerId_1356,90,1,5000.0,0,1
CustomerId_1357,27,1,100.0,1,0
CustomerId_1358,2,6,1950.0,1,0
CustomerId_1359,12,9,40000.0,1,0
CustomerId_1360,66,1,10000.0,0,1
CustomerId_1361,82,9,10500.0,0,1
CustomerId_1362,2,20,80000.0,1,0
CustomerId_1363,54,1,5000.0,0,1
CustomerId_1365,33,4,18500.0,1,0
CustomerId_1366,23,5,900.0,1,0
CustomerId_1367,5,6,20000.0,1,0
CustomerId_1369,68,6,19000.0,0,1
CustomerId_1370,66,7,112850.0,0,1
CustomerId_1372,19,1,500.0,1,0
CustomerId_1373,39,1,10000.0,0,1
CustomerId_1375,16,3,30000.0,1,0
CustomerId_1376,40,2,220000.0,0,1
CustomerId_1377,23,3,-20.0,1,0
CustomerId_1378,1,13,50000.0,1,0
CustomerId_1379,85,1,1000.0,0,1
CustomerId_1380,1,20,80000.0,1,0
CustomerId_1381,63,1,5000.0,0,1
CustomerId_1382,2,20,12995.0,1,0
CustomerId_1384,25,3,7000.0,1,0
CustomerId_1385,18,1,50000.0,1,0
CustomerId_1386,83,1,1000.0,0,1
CustomerId_1387,10,36,21900.0,1,0
CustomerId_1389,56,1,100000.0,0,1
CustomerId_1390,22,1,500.0,1,0
CustomerId_1392,50,5,11260.0,0,1
CustomerId_1393,65,2,200.0,0,1
CustomerId_1394,72,1,10000.0,0,1
CustomerId_1395,6,5,20000.0,1,0
CustomerId_1396,68,7,29800.0,0,1
CustomerId_1397,1,10,6800.0,1,0
CustomerId_1398,7,43,216771.0,1,0
CustomerId_14,84,1,-10000.0,0,1
CustomerId_1400,50,1,500.0,0,1
CustomerId_1402,33,6,9960.0,1,0
CustomerId_1404,5,2,4000.0,1,0
CustomerId_1406,86,2,490.0,0,1
CustomerId_1407,12,18,85980.0,1,0
CustomerId_1408,49,1,1000.0,0,1
CustomerId_1409,5,24,29889.0,1,0
CustomerId_1410,5,13,55000.0,1,0
CustomerId_1411,35,6,7000.0,1,0
CustomerId_1413,3,140,491358.4,1,0
CustomerId_1414,5,4,10000.0,1,0
CustomerId_1415,1,52,21273.0,1,0
CustomerId_1417,36,2,7000.0,1,0
CustomerId_1418,24,1,3500.0,1,0
CustomerId_1419,27,9,34225.0,1,0
CustomerId_1420,62,10,11850.0,0,1
CustomerId_1421,14,10,29810.0,1,0
CustomerId_1422,89,3,14000.0,0,1
CustomerId_1423,84,14,8360.0,0,1
CustomerId_1424,20,5,20000.0,1,0
CustomerId_1425,1,36,58890.0,1,0
CustomerId_1426,84,1,10000.0,0,1
CustomerId_1427,54,30,120000.0,0,1
CustomerId_1429,5,36,181640.0,1,0
CustomerId_1431,64,1,5000.0,0,1
CustomerId_1432,91,1,2000.0,0,1
CustomerId_1435,12,29,110000.0,1,0
CustomerId_1436,55,4,9000.0,0,1
CustomerId_1437,38,1,20000.0,0,1
CustomerId_1438,4,32,145071.0,1,0
CustomerId_1439,54,1,500.0,0,1
CustomerId_1440,2,4,440.0,1,0
CustomerId_1441,57,1,1000.0,0,1
CustomerId_1442,12,9,40000.0,1,0
CustomerId_1443,33,2,2000.0,1,0
CustomerId_1444,58,1,500.0,0,1
CustomerId_1445,29,1,500.0,1,0
CustomerId_1447,75,8,9850.0,0,1
CustomerId_1448,14,3,3500.0,1,0
CustomerId_1449,15,27,492768.0,1,0
CustomerId_1450,27,9,60725.0,1,0
CustomerId_1451,23,18,18550.0,1,0
CustomerId_1452,31,11,24600.0,1,0
CustomerId_1453,11,11,20175.0,1,0
CustomerId_1454,1,14,60000.0,1,0
CustomerId_1455,77,1,1000.0,0,1
CustomerId_1458,42,1,500.0,0,1
CustomerId_1459,46,1,10000.0,0,1
CustomerId_1461,19,42,65600.0,1,0
CustomerId_1464,12,4,10000.0,1,0
CustomerId_1466,19,7,38200.0,1,0
CustomerId_1467,1,8,-13500.0,1,0
CustomerId_1468,21,15,400864.0,1,0
CustomerId_1472,5,66,224496.0,1,0
CustomerId_1474,72,1,10000.0,0,1
CustomerId_1475,82,8,16740.0,0,1
CustomerId_1476,76,8,14000.0,0,1
CustomerId_1477,11,58,115075.4,1,0
CustomerId_1478,6,4,10000.0,1,0
CustomerId_1479,19,6,20000.0,1,0
CustomerId_1480,5,29,120000.0,1,0
CustomerId_1481,60,13,19000.0,0,1
CustomerId_1482,60,10,24000.0,0,1
CustomerId_1483,44,9,9930.0,0,1
CustomerId_1484,12,8,2970.0,1,0
CustomerId_1485,13,23,100000.0,1,0
CustomerId_1486,33,6,20000.0,1,0
CustomerId_1487,67,8,6500.0,0,1
CustomerId_1488,33,5,20000.0,1,0
CustomerId_1489,51,6,90000.0,0,1
CustomerId_1490,60,3,30000.0,0,1
CustomerId_1492,82,3,3350.0,0,1
CustomerId_1494,2,29,93375.0,1,0
CustomerId_1495,82,5,9950.0,0,1
CustomerId_1496,78,1,50000.0,0,1
CustomerId_1498,3,4,3420.0,1,0
CustomerId_1499,75,8,34000.0,0,1
CustomerId_15,84,1,-10000.0,0,1
CustomerId_1501,6,5,20000.0,1,0
CustomerId_1502,53,1,5000.0,0,1
CustomerId_1503,20,74,296471.0,1,0
CustomerId_1504,2,10,109450.0,1,0
CustomerId_1505,6,116,226410.0,1,0
CustomerId_1506,47,1,5000.0,0,1
CustomerId_1507,7,2,950.0,1,0
CustomerId_1508,13,21,80000.0,1,0
CustomerId_1509,6,17,60429.0,1,0
CustomerId_1510,59,93,216279.0,0,1
CustomerId_1511,25,4,3950.0,1,0
CustomerId_1512,1,32,133435.0,1,0
CustomerId_1513,47,6,19000.0,0,1
CustomerId_1514,77,9,4350.0,0,1
CustomerId_1515,5,70,143285.0,1,0
CustomerId_1516,33,7,20975.0,1,0
CustomerId_1517,21,11,25000.0,1,0
CustomerId_1518,48,4,9000.0,0,1
CustomerId_1520,13,20,97920.0,1,0
CustomerId_1521,87,1,1000.0,0,1
CustomerId_1523,18,14,278854.0,1,0
CustomerId_1524,6,5,10000.0,1,0
CustomerId_1525,72,1,1000.0,0,1
CustomerId_1526,33,1,500.0,1,0
CustomerId_1528,38,5,11780.0,0,1
CustomerId_1529,83,28,27386.0,0,1
CustomerId_1531,63,1,3000.0,0,1
CustomerId_1532,45,20,592356.0,0,1
CustomerId_1533,5,90,145930.0,1,0
CustomerId_1535,3,7,60212748.0,1,0
CustomerId_1537,19,24,99171.0,1,0
CustomerId_1538,12,15,70000.0,1,0
CustomerId_1540,75,5,19000.0,0,1
CustomerId_1541,46,29,78400.0,0,1
CustomerId_1542,12,5,10000.0,1,0
CustomerId_1543,12,5,20000.0,1,0
CustomerId_1545,14,70,242985.0,1,0
CustomerId_1546,5,50,320000.0,1,0
CustomerId_1547,53,52,104250.0,0,1
CustomerId_1550,6,14,60000.0,1,0
CustomerId_1554,3,26,31725.0,1,0
CustomerId_1557,5,25,120000.0,1,0
CustomerId_1561,5,5,20000.0,1,0
CustomerId_1562,68,3,3750.0,0,1
CustomerId_1564,59,28,17530.0,0,1
CustomerId_1565,55,17,59600.0,0,1
CustomerId_1566,23,1,1000.0,1,0
CustomerId_1567,21,3,1000500.0,1,0
CustomerId_1568,26,15,22840.0,1,0
CustomerId_1569,35,1,5000.0,1,0
CustomerId_1570,54,9,29000.0,0,1
CustomerId_1571,40,1,10000.0,0,1
CustomerId_1572,12,13,60000.0,1,0
CustomerId_1573,68,6,19000.0,0,1
CustomerId_1576,38,91,246592.0,1,0
CustomerId_1577,87,3,5250.0,0,1
CustomerId_1578,69,12,80000.0,0,1
CustomerId_1579,1,20,90000.0,1,0
CustomerId_1580,42,6,5932.0,0,1
CustomerId_1581,26,13,25000.0,1,0
CustomerId_1583,36,9,7730.0,1,0
CustomerId_1584,1,59,239214.0,1,0
CustomerId_1587,86,15,18955.0,0,1
CustomerId_1588,31,33,123640.0,1,0
CustomerId_1591,20,9,35000.0,1,0
CustomerId_1593,1,13,50000.0,1,0
CustomerId_1594,5,89,374500.0,1,0
CustomerId_1595,76,4,-8050.0,0,1
CustomerId_1597,77,1,50000.0,0,1
CustomerId_1599,34,3,0.0,1,0
CustomerId_1601,59,3,-430.0,0,1
CustomerId_1602,13,58,4231510.0,1,0
CustomerId_1604,48,30,65225.5,0,1
CustomerId_1605,77,1,1800.0,0,1
CustomerId_1608,86,16,20050.0,0,1
CustomerId_1609,84,5,975.0,0,1
CustomerId_1610,22,1,500.0,1,0
CustomerId_1611,47,5,19000.0,0,1
CustomerId_1612,3,1,20000.0,1,0
CustomerId_1613,13,18,80000.0,1,0
CustomerId_1614,39,5,1000.0,0,1
CustomerId_1615,12,5,10000.0,1,0
CustomerId_1617,2,1,500.0,1,0
CustomerId_1618,1,13,70000.0,1,0
CustomerId_1619,90,1,5000.0,0,1
CustomerId_1620,26,5,20000.0,1,0
CustomerId_1621,26,1,1000.0,1,0
CustomerId_1622,5,126,327965.0,1,0
CustomerId_1623,5,5,20000.0,1,0
CustomerId_1624,54,18,75000.0,0,1
CustomerId_1625,55,21,80000.0,0,1
CustomerId_1626,24,13,5875.0,1,0
CustomerId_1627,4,1,500.0,1,0
CustomerId_1629,48,1,500.0,0,1
CustomerId_1632,5,68,329100.0,1,0
CustomerId_1634,54,19,93900.0,0,1
CustomerId_1635,33,6,20000.0,1,0
CustomerId_1636,8,32,75658.0,1,0
CustomerId_1637,15,1,10000.0,1,0
CustomerId_1638,59,3,-525.0,0,1
CustomerId_1639,26,14,17440.0,1,0
CustomerId_1640,42,8,3375.0,0,1
CustomerId_1641,54,6,19000.0,0,1
CustomerId_1642,44,10,28310.0,0,1
CustomerId_1643,47,5,19000.0,0,1
CustomerId_1645,5,5,20000.0,1,0
CustomerId_1646,40,2,-500.0,0,1
CustomerId_1647,11,19,16400.0,1,0
CustomerId_1649,26,3,-525.0,1,0
CustomerId_1651,2,2,20000.0,1,0
CustomerId_1652,46,1,5000.0,0,1
CustomerId_1653,25,6,1660475.0,1,0
CustomerId_1655,12,9,40000.0,1,0
CustomerId_1656,4,90,1069170.0,1,0
CustomerId_1657,52,3,6000.0,0,1
CustomerId_1658,7,43,103538.0,1,0
CustomerId_1659,70,3,165000.0,0,1
CustomerId_1660,67,1,1000.0,0,1
CustomerId_1661,1,20,51691.0,1,0
CustomerId_1663,11,480,1693789.0,1,0
CustomerId_1664,86,1,1000.0,0,1
CustomerId_1666,34,1,50000.0,1,0
CustomerId_1669,30,3,-525.0,1,0
CustomerId_1670,62,15,229685.0,0,1
CustomerId_1671,73,2,10000.0,0,1
CustomerId_1672,35,6,20250.0,1,0
CustomerId_1674,82,1,20000.0,0,1
CustomerId_1676,5,32,164000.0,1,0
CustomerId_1679,55,4,9000.0,0,1
CustomerId_1680,12,11,743150.0,1,0
CustomerId_1681,1,13,50000.0,1,0
CustomerId_1683,8,12,99500.0,1,0
CustomerId_1684,12,13,61000.0,1,0
CustomerId_1686,7,1,1000.0,1,0
CustomerId_1687,61,1,2000.0,0,1
CustomerId_1688,24,16,110779.0,1,0
CustomerId_1690,81,21,2017630.0,0,1
CustomerId_1692,27,7,11950.0,1,0
CustomerId_1694,13,22,100000.0,1,0
CustomerId_1695,7,96,785327.0,1,0
CustomerId_1696,26,11,29090.0,1,0
CustomerId_1697,6,10,30000.0,1,0
CustomerId_1698,3,2,499000.0,1,0
CustomerId_1699,36,151,616150.0,1,0
CustomerId_1701,1,25,70000.0,1,0
CustomerId_1702,89,14,12080.0,0,1
CustomerId_1703,64,3,-525.0,0,1
CustomerId_1705,2,3,-50.0,1,0
CustomerId_1707,26,7,11000.0,1,0
CustomerId_1708,12,6,20000.0,1,0
CustomerId_1709,1,524,851985.0,1,0
CustomerId_1710,22,5,2980.0,1,0
CustomerId_1712,39,1,1000.0,0,1
CustomerId_1713,21,47,42814.0,1,0
CustomerId_1714,62,7,29000.0,0,1
CustomerId_1716,62,1,80000.0,0,1
CustomerId_1717,1,12,40000.0,1,0
CustomerId_1719,3,1,5000.0,1,0
CustomerId_1720,47,6,19000.0,0,1
CustomerId_1721,47,6,19000.0,0,1
CustomerId_1722,21,1,1000.0,1,0
CustomerId_1723,86,1,800.0,0,1
CustomerId_1724,29,1,1000000.0,1,0
CustomerId_1725,85,20,25950.0,0,1
CustomerId_1726,56,6,6880.0,0,1
CustomerId_1728,39,3,4500.0,0,1
CustomerId_1729,33,8,40000.0,1,0
CustomerId_1730,27,63,166430.0,1,0
CustomerId_1731,56,23,348000.0,0,1
CustomerId_1732,53,18,161000.0,0,1
CustomerId_1733,5,38,180000.0,1,0
CustomerId_1735,19,3,-17000.0,1,0
CustomerId_1736,34,2,475.0,1,0
CustomerId_1738,6,5,20000.0,1,0
CustomerId_1739,9,19,11391.0,1,0
CustomerId_1741,40,3,13000.0,0,1
CustomerId_1742,24,3,7000.0,1,0
CustomerId_1744,34,1,5000.0,1,0
CustomerId_1748,20,3,64000.0,1,0
CustomerId_1749,34,4,950.0,1,0
CustomerId_1750,1,21,25100.0,1,0
CustomerId_1752,23,4,950.0,1,0
CustomerId_1753,68,1,250000.0,0,1
CustomerId_1754,49,1,500.0,0,1
CustomerId_1755,43,1,5000.0,0,1
CustomerId_1756,61,1,5000.0,0,1
CustomerId_1757,70,4,950.0,0,1
CustomerId_1758,8,91,113704.5,1,0
CustomerId_1759,32,10,24000.0,1,0
CustomerId_1762,6,10,15153.0,1,0
CustomerId_1763,19,13,40000.0,1,0
CustomerId_1764,74,2,11000.0,0,1
CustomerId_1767,2,21,294940.0,1,0
CustomerId_1768,11,68,219052.0,1,0
CustomerId_1769,40,1,10000.0,0,1
CustomerId_1770,1,8,14800.0,1,0
CustomerId_1773,5,24,80206.55,1,0
CustomerId_1774,5,38,179000.0,1,0
CustomerId_1776,45,2,490.0,0,1
CustomerId_1782,1,19,44908.0,1,0
CustomerId_1784,5,9,40000.0,1,0
CustomerId_1786,6,29,150000.0,1,0
CustomerId_1790,2,27,192710.0,1,0
CustomerId_1791,33,6,30000.0,1,0
CustomerId_1792,76,1,1000000.0,0,1
CustomerId_1794,73,9,10000.0,0,1
CustomerId_1795,1,10,39000.0,1,0
CustomerId_1797,44,3,8000.0,0,1
CustomerId_1798,36,1,50000.0,1,0
CustomerId_1800,13,5,15000.0,1,0
CustomerId_1801,13,18,11875.0,1,0
CustomerId_1802,8,3,21000.0,1,0
CustomerId_1805,42,29,343644.25,0,1
CustomerId_1806,71,20,60000.0,0,1
CustomerId_1807,54,6,30000.0,0,1
CustomerId_1809,63,19,56156.42,0,1
CustomerId_1810,1,23,85000.0,1,0
CustomerId_1811,85,3,1975.0,0,1
CustomerId_1812,9,35,403794.0,1,0
CustomerId_1813,68,5,19280.0,0,1
CustomerId_1815,1,79,76505.0,1,0
CustomerId_1817,55,6,19000.0,0,1
CustomerId_1820,28,10,14800.0,1,0
CustomerId_1821,4,1,10000.0,1,0
CustomerId_1825,5,19,120000.0,1,0
CustomerId_1827,54,6,19000.0,0,1
CustomerId_1828,54,5,9000.0,0,1
CustomerId_1830,65,9,2800.0,0,1
CustomerId_1831,32,14,296800.0,1,0
CustomerId_1833,61,10,784000.0,0,1
CustomerId_1835,47,6,19000.0,0,1
CustomerId_1836,22,1,5000.0,1,0
CustomerId_1838,29,1,1000.0,1,0
CustomerId_1839,68,17,26628.0,0,1
CustomerId_1841,6,22,110000.0,1,0
CustomerId_1843,62,13,965.0,0,1
CustomerId_1844,40,10,47175.0,0,1
CustomerId_1845,6,13,28400.0,1,0
CustomerId_1846,16,16,37535.0,1,0
CustomerId_1848,10,15,77140.0,1,0
CustomerId_1849,4,29,60220.0,1,0
CustomerId_1850,23,1,1509988.0,1,0
CustomerId_1852,22,1,2000.0,1,0
CustomerId_1853,55,1,1000.0,0,1
CustomerId_1855,1,5,1950.0,1,0
CustomerId_1856,19,2,60600.0,1,0
CustomerId_1858,33,56,3696125.0,1,0
CustomerId_1859,60,4,-25.0,0,1
CustomerId_1860,2,47,279920.0,1,0
CustomerId_1861,54,5,19000.0,0,1
CustomerId_1862,84,5,2425.0,0,1
CustomerId_1864,6,27,111600.0,1,0
CustomerId_1867,9,31,130000.0,1,0
CustomerId_1870,89,4,9800.0,0,1
CustomerId_1871,33,17,50000.0,1,0
CustomerId_1872,13,4,20000.0,1,0
CustomerId_1873,89,1,1000.0,0,1
CustomerId_1874,10,22,92770.0,1,0
CustomerId_1875,6,97,611180.6,1,0
CustomerId_1876,52,3,11000.0,0,1
CustomerId_1877,11,18,180520.0,1,0
CustomerId_1879,87,1,1000.0,0,1
CustomerId_1881,5,35,229000.0,1,0
