CustomerId,transaction_count,total_amount,avg_amount,std_amount,min_amount,max_amount,total_value,fraud_count
CustomerId_1096,784,1949226.0,2486.26,17819.37,-13000.0,202000.0,2041334,0
CustomerId_1098,1,20000.0,20000.0,,20000.0,20000.0,20000,0
CustomerId_1099,9,6180.0,686.67,843.86,-1000.0,2000.0,8220,0
CustomerId_11,1,-10000.0,-10000.0,,-10000.0,-10000.0,10000,0
CustomerId_1101,9,60000.0,6666.67,5873.67,1000.0,15000.0,60000,0
CustomerId_1102,14,60000.0,4285.71,6169.76,-5000.0,10000.0,92000,0
CustomerId_1103,1,30000.0,30000.0,,30000.0,30000.0,30000,0
CustomerId_1104,10,40000.0,4000.0,9321.42,-5000.0,21000.0,84400,0
CustomerId_1105,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1106,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1108,14,50000.0,3571.43,8741.72,-5000.0,20000.0,112000,0
CustomerId_1109,8,39800.0,4975.0,6193.72,-5000.0,10500.0,52200,0
CustomerId_1111,3,-20.0,-6.67,1000.07,-1000.0,1000.0,2020,0
CustomerId_1112,6,20000.0,3333.33,6088.24,-5000.0,10000.0,32000,0
CustomerId_1113,23,29700.0,1291.3,3184.93,-5000.0,10000.0,42300,0
CustomerId_1114,57,52925.0,928.51,963.83,-1000.0,2000.0,59075,0
CustomerId_1116,8,5960.0,745.0,1039.27,-1000.0,2000.0,8040,0
CustomerId_1117,1,4000.0,4000.0,,4000.0,4000.0,4000,0
CustomerId_1118,24,70000.0,2916.67,6412.74,-5000.0,11000.0,142000,0
CustomerId_1119,7,5450.0,778.57,410.14,-50.0,1000.0,5550,0
CustomerId_1120,2,1960.0,980.0,1442.5,-40.0,2000.0,2040,0
CustomerId_1121,7,12097.02,1728.15,2428.37,-1000.0,5000.0,14781,0
CustomerId_1122,1,1850000.0,1850000.0,,1850000.0,1850000.0,1850000,1
CustomerId_1123,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1124,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1125,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1127,37,92135.0,2490.14,2946.55,-500.0,10000.0,95465,0
CustomerId_1129,2,1000.0,500.0,0.0,500.0,500.0,1000,0
CustomerId_1130,4,3960.0,990.0,1833.14,-1000.0,3000.0,6040,0
CustomerId_1131,11,16550.0,1504.55,2194.93,-1000.0,5000.0,20170,0
CustomerId_1134,9,3380.0,375.56,430.81,-50.0,1000.0,3620,0
CustomerId_1135,14,71000.0,5071.43,10547.56,-1000.0,40000.0,75000,0
CustomerId_1137,20,80000.0,4000.0,8911.2,-5000.0,20700.0,161400,0
CustomerId_1140,3,3750.0,1250.0,3269.17,-1000.0,5000.0,6250,0
CustomerId_1141,49,145465.0,2968.67,5077.61,-5000.0,10000.0,227335,0
CustomerId_1145,4,9500.0,2375.0,1887.46,500.0,5000.0,9500,0
CustomerId_1146,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1147,18,80000.0,4444.44,5843.27,-5000.0,10000.0,112000,0
CustomerId_1150,2,2000.0,1000.0,0.0,1000.0,1000.0,2000,0
CustomerId_1153,1,3000.0,3000.0,,3000.0,3000.0,3000,0
CustomerId_1154,9,5475.0,608.33,846.87,-75.0,2500.0,5725,0
CustomerId_1156,368,1488224.0,4044.09,8121.07,-10000.0,49000.0,1683725,0
CustomerId_1158,8,30000.0,3750.0,7094.06,-5000.0,10700.0,51400,0
CustomerId_1159,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1160,15,48890.0,3259.33,6929.97,-5000.0,11000.0,102000,0
CustomerId_1161,1,2500.0,2500.0,,2500.0,2500.0,2500,0
CustomerId_1162,7,4465.0,637.86,1176.43,-1000.0,2300.0,6735,0
CustomerId_1163,14,50000.0,3571.43,7303.47,-5000.0,11000.0,102000,0
CustomerId_1164,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1165,5,54000.0,10800.0,14515.51,-5000.0,30000.0,66000,0
CustomerId_1169,3,-50.0,-16.67,1000.42,-1000.0,1000.0,2050,0
CustomerId_1170,18,107074.0,5948.56,14101.36,-5000.0,54600.0,159334,0
CustomerId_1171,6,3925.0,654.17,1373.9,-1000.0,2500.0,7075,0
CustomerId_1172,84,235759.7,2806.66,4418.0,-1000.0,19500.0,248611,0
CustomerId_1174,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1175,241,8942702.5,37106.65,359409.4,-10000.0,5000000.0,9072498,2
CustomerId_1177,4,28878.0,7219.5,12439.0,1000.0,25878.0,28878,0
CustomerId_1179,3,900.0,300.0,1539.48,-1000.0,2000.0,3100,0
CustomerId_1180,67,143406.0,2140.39,3254.1,-5000.0,11000.0,154554,0
CustomerId_1182,4,10000.0,2500.0,6757.71,-5000.0,10000.0,22000,0
CustomerId_1183,18,45075.0,2504.17,5054.27,-5000.0,11000.0,66965,0
CustomerId_1184,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1186,4,5900.0,1475.0,2665.05,-1000.0,5000.0,8100,0
CustomerId_1187,7,39000.0,5571.43,9431.46,-5000.0,20000.0,61000,0
CustomerId_1189,2,3000.0,1500.0,707.11,1000.0,2000.0,3000,0
CustomerId_1190,15,80000.0,5333.33,6183.7,-5000.0,10000.0,112000,0
CustomerId_1191,6,20500.0,3416.67,6200.13,-5000.0,10000.0,32500,0
CustomerId_1192,22,41565.0,1889.32,3086.74,-250.0,10000.0,43635,0
CustomerId_1193,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_1194,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_1195,6,19000.0,3166.67,6047.04,-5000.0,10000.0,31000,0
CustomerId_1196,6,19000.0,3166.67,6266.31,-5000.0,10000.0,32000,0
CustomerId_1197,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_1198,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_12,1,-10000.0,-10000.0,,-10000.0,-10000.0,10000,0
CustomerId_1200,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_1201,173,542517.5,3135.94,8880.12,-5000.0,83170.0,752354,0
CustomerId_1202,29,130000.0,4482.76,6598.81,-5000.0,11000.0,202000,0
CustomerId_1203,45,38530.0,856.22,1996.28,-5000.0,12000.0,50270,0
CustomerId_1204,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_1208,9,19770.0,2196.67,3365.03,-100.0,10000.0,20230,0
CustomerId_1209,6,30000.0,5000.0,6511.53,-5000.0,10000.0,42000,0
CustomerId_1210,3,25000.0,8333.33,25181.01,-12000.0,36500.0,50455,0
CustomerId_1211,2,200000.0,100000.0,0.0,100000.0,100000.0,200000,0
CustomerId_1212,17,39000.0,2294.12,4928.99,-1000.0,20000.0,43000,0
CustomerId_1214,44,104825.0,2382.39,5690.77,-1000.0,26500.0,108175,0
CustomerId_1215,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1217,9,29000.0,3222.22,6255.55,-5000.0,10000.0,52000,0
CustomerId_1218,72,139055.0,1931.32,1964.81,-250.0,5000.0,141945,0
CustomerId_1219,6,3850.0,641.67,841.08,-50.0,2000.0,4150,0
CustomerId_1220,13,40000.0,3076.92,5488.04,-5000.0,10000.0,62000,0
CustomerId_1221,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1222,45,82980.0,1844.0,7714.82,-1000.0,52000.0,87130,0
CustomerId_1223,3,21500.0,7166.67,11116.8,500.0,20000.0,21500,0
CustomerId_1224,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1225,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1226,8,10700.0,1337.5,2290.47,-1000.0,6000.0,13300,0
CustomerId_1227,26,73233.6,2816.68,3686.59,-5000.0,10000.0,86427,0
CustomerId_1228,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1229,3,-50.0,-16.67,1000.42,-1000.0,1000.0,2050,0
CustomerId_1231,1,2000.0,2000.0,,2000.0,2000.0,2000,0
CustomerId_1232,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1233,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1234,12,40000.0,3333.33,7270.4,-5000.0,10700.0,81400,0
CustomerId_1235,6,19000.0,3166.67,6104.64,-5000.0,10000.0,31000,0
CustomerId_1236,8,8765.0,1095.62,2169.19,-1000.0,5000.0,11235,0
CustomerId_1237,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1238,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1240,6,34000.0,5666.67,7527.73,-5000.0,15000.0,46000,0
CustomerId_1241,7,30000.0,4285.71,6102.3,-5000.0,10000.0,42000,0
CustomerId_1242,152,842504.0,5542.79,9263.46,-5000.0,31000.0,1203810,0
CustomerId_1244,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1245,29,135000.0,4655.17,6136.98,-5000.0,15000.0,199250,0
CustomerId_1246,19,79000.0,4157.89,6048.54,-5000.0,10000.0,121000,0
CustomerId_1247,13,60000.0,4615.38,9197.27,-5000.0,21000.0,112000,0
CustomerId_1250,273,661899.15,2424.54,4614.52,-5000.0,39000.0,699514,0
CustomerId_1252,19,80000.0,4210.53,6058.32,-5000.0,10000.0,122000,0
CustomerId_1253,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1256,6,20000.0,3333.33,7814.52,-5000.0,11000.0,42000,0
CustomerId_1257,12,17025.0,1418.75,1903.84,-70.0,5000.0,17395,0
CustomerId_1258,7,30000.0,4285.71,6163.45,-5000.0,10000.0,42000,0
CustomerId_1259,16,17213.5,1075.84,1617.53,-75.0,5000.0,17787,0
CustomerId_1260,9,40000.0,4444.44,6463.57,-5000.0,10000.0,62000,0
CustomerId_1262,9,10040.0,1115.56,791.5,-40.0,2000.0,10160,0
CustomerId_1263,5,19000.0,3800.0,6685.81,-5000.0,10000.0,31000,0
CustomerId_1265,97,250500.0,2582.47,4735.23,-5000.0,24000.0,278900,0
CustomerId_1266,20,9470.0,473.5,476.74,-50.0,1195.0,10120,0
CustomerId_1267,3,-20.0,-6.67,1000.07,-1000.0,1000.0,2020,0
CustomerId_1268,1,1000000.0,1000000.0,,1000000.0,1000000.0,1000000,0
CustomerId_1269,3,2000.0,666.67,3785.94,-2000.0,5000.0,10000,0
CustomerId_1270,33,50904.0,1542.55,1915.43,-1000.0,5000.0,56046,0
CustomerId_1271,6,5550.0,925.0,503.74,-50.0,1400.0,5650,0
CustomerId_1272,3,4500.0,1500.0,866.03,500.0,2000.0,4500,0
CustomerId_1273,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1274,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1275,253,712156.5,2814.85,9503.24,-5000.0,50000.0,752744,0
CustomerId_1276,86,581500.0,6761.63,21603.48,-5000.0,120000.0,951000,0
CustomerId_1277,60,160910.0,2681.83,7224.06,-5000.0,35000.0,177990,0
CustomerId_1279,7,29000.0,4142.86,7425.82,-5000.0,10000.0,51000,0
CustomerId_1280,44,105203.0,2390.98,3286.97,-1000.0,15000.0,118447,0
CustomerId_1281,30,180000.0,6000.0,9098.81,-5000.0,20700.0,271800,0
CustomerId_1282,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1283,19,17905.0,942.37,382.46,-75.0,1500.0,18095,0
CustomerId_1285,4,2950.0,737.5,525.0,-50.0,1000.0,3050,0
CustomerId_1286,28,74269.0,2652.46,3371.4,-622.0,11000.0,81152,0
CustomerId_1287,7,29000.0,4142.86,7425.82,-5000.0,10000.0,51000,0
CustomerId_1288,14,16370.0,1169.29,837.33,-50.0,2000.0,16630,0
CustomerId_1294,12,64178.0,5348.17,6787.47,-1000.0,20000.0,71489,0
CustomerId_1295,15,92150.0,6143.33,6625.68,-5000.0,17000.0,103850,0
CustomerId_1296,3,-525.0,-175.0,761.17,-1000.0,500.0,1525,0
CustomerId_1297,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1298,20,407980.0,20399.0,43873.99,-5000.0,160000.0,430020,0
CustomerId_1299,36,216780.0,6021.67,14360.3,-1000.0,50000.0,241220,0
CustomerId_13,1,-10000.0,-10000.0,,-10000.0,-10000.0,10000,0
CustomerId_1300,6,20000.0,3333.33,6088.24,-5000.0,10000.0,32000,0
CustomerId_1301,18,90000.0,5000.0,6240.29,-5000.0,10000.0,132000,0
CustomerId_1302,18,7740285.0,430015.83,1235636.03,-1000.0,5000000.0,7742715,3
CustomerId_1303,21,100000.0,4761.9,6268.21,-5000.0,10000.0,152000,0
CustomerId_1304,3,150000.0,50000.0,0.0,50000.0,50000.0,150000,0
CustomerId_1306,61,61860.0,1014.1,1984.34,-1000.0,10000.0,65740,0
CustomerId_1307,17,253650.0,14920.59,32368.42,-1000.0,100000.0,256350,0
CustomerId_1308,15,148558.0,9903.87,25991.43,-1000.0,100000.0,150558,0
CustomerId_1310,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1311,33,41740.0,1264.85,1393.65,-175.0,5000.0,43430,0
CustomerId_1312,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1313,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1316,2,30000.0,15000.0,7071.07,10000.0,20000.0,30000,0
CustomerId_1317,10,45000.0,4500.0,6186.9,-5000.0,11000.0,67000,0
CustomerId_1318,7,4986.0,712.29,1130.38,-1000.0,2000.0,7066,0
CustomerId_1320,2,10000.0,5000.0,0.0,5000.0,5000.0,14000,0
CustomerId_1321,2,60000.0,30000.0,28284.27,10000.0,50000.0,60000,0
CustomerId_1322,6,2950.0,491.67,842.86,-1000.0,1000.0,5050,0
CustomerId_1323,15,60000.0,4000.0,6020.8,-5000.0,10000.0,92000,0
CustomerId_1324,45,674696.0,14993.24,35146.98,-5000.0,160000.0,743304,0
CustomerId_1325,5,41280.0,8256.0,10833.87,-220.0,26000.0,41720,0
CustomerId_1326,3,13000.0,4333.33,1154.7,3000.0,5000.0,13000,0
CustomerId_1328,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1329,7,32000.0,4571.43,8263.52,-5000.0,20000.0,44000,0
CustomerId_1330,7,40000.0,5714.29,9516.9,-5000.0,20000.0,62000,0
CustomerId_1331,12,66000.0,5500.0,5916.08,-5000.0,10000.0,88000,0
CustomerId_1332,2,3000.0,1500.0,707.11,1000.0,2000.0,3000,0
CustomerId_1335,113,200848.5,1777.42,4404.38,-10000.0,20000.0,305442,0
CustomerId_1338,2,22000.0,11000.0,12727.92,2000.0,20000.0,22000,0
CustomerId_1339,5,19000.0,3800.0,6685.81,-5000.0,10000.0,31000,0
CustomerId_1341,11,21560.0,1960.0,2140.19,-200.0,5000.0,22440,0
CustomerId_1343,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1349,7,8000.0,1142.86,377.96,1000.0,2000.0,8000,0
CustomerId_1351,15,95100.0,6340.0,14258.72,-1500.0,50000.0,98900,0
CustomerId_1353,1,2000000.0,2000000.0,,2000000.0,2000000.0,2000000,0
CustomerId_1355,5,10000.0,2000.0,0.0,2000.0,2000.0,10000,0
CustomerId_1356,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1357,1,100.0,100.0,,100.0,100.0,100,0
CustomerId_1358,6,1950.0,325.0,986.66,-1000.0,2000.0,4050,0
CustomerId_1359,9,40000.0,4444.44,6463.57,-5000.0,10000.0,62000,0
CustomerId_1360,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1361,9,10500.0,1166.67,2260.53,-350.0,7000.0,11500,0
CustomerId_1362,20,80000.0,4000.0,7156.15,-5000.0,11000.0,144000,0
CustomerId_1363,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1365,4,18500.0,4625.0,6209.87,-1000.0,10000.0,21500,0
CustomerId_1366,5,900.0,180.0,843.06,-1000.0,1000.0,3100,0
CustomerId_1367,6,20000.0,3333.33,6088.24,-5000.0,10000.0,32000,0
CustomerId_1369,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1370,7,112850.0,16121.43,23193.82,-150.0,50000.0,120900,0
CustomerId_1372,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1373,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1375,3,30000.0,10000.0,8660.25,5000.0,20000.0,30000,0
CustomerId_1376,2,220000.0,110000.0,127279.22,20000.0,200000.0,220000,0
CustomerId_1377,3,-20.0,-6.67,1000.07,-1000.0,1000.0,2020,0
CustomerId_1378,13,50000.0,3846.15,8060.67,-5000.0,15000.0,102000,0
CustomerId_1379,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1380,20,80000.0,4000.0,7262.01,-5000.0,11000.0,152000,0
CustomerId_1381,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1382,20,12995.0,649.75,897.63,-1000.0,3000.0,15205,0
CustomerId_1384,3,7000.0,2333.33,577.35,2000.0,3000.0,7000,0
CustomerId_1385,1,50000.0,50000.0,,50000.0,50000.0,50000,0
CustomerId_1386,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1387,36,21900.0,608.33,769.18,-1000.0,3000.0,24774,0
CustomerId_1389,1,100000.0,100000.0,,100000.0,100000.0,100000,0
CustomerId_1390,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1392,5,11260.0,2252.0,2489.48,-240.0,4800.0,11940,0
CustomerId_1393,2,200.0,100.0,7212.49,-5000.0,5200.0,10200,0
CustomerId_1394,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1395,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1396,7,29800.0,4257.14,6127.22,-5000.0,10000.0,40600,0
CustomerId_1397,10,6800.0,680.0,1369.8,-1000.0,4000.0,9200,0
CustomerId_1398,43,216771.0,5041.19,10694.19,-220.0,45000.0,220844,0
CustomerId_14,1,-10000.0,-10000.0,,-10000.0,-10000.0,10000,0
CustomerId_1400,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1402,6,9960.0,1660.0,2166.47,-1000.0,5000.0,12040,0
CustomerId_1404,2,4000.0,2000.0,0.0,2000.0,2000.0,4000,0
CustomerId_1406,2,490.0,245.0,360.62,-10.0,500.0,510,0
CustomerId_1407,18,85980.0,4776.67,6531.83,-5000.0,13000.0,128020,0
CustomerId_1408,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1409,24,29889.0,1245.38,1915.7,-1000.0,5000.0,35601,0
CustomerId_1410,13,55000.0,4230.77,5035.77,-5000.0,10000.0,77000,0
CustomerId_1411,6,7000.0,1166.67,408.25,1000.0,2000.0,7000,0
CustomerId_1413,140,491358.4,3509.7,6719.64,-5000.0,40000.0,554801,0
CustomerId_1414,4,10000.0,2500.0,6757.71,-5000.0,10000.0,22000,0
CustomerId_1415,52,21273.0,409.1,1649.01,-2000.0,5000.0,62247,0
CustomerId_1417,2,7000.0,3500.0,2121.32,2000.0,5000.0,7000,0
CustomerId_1418,1,3500.0,3500.0,,3500.0,3500.0,3500,0
CustomerId_1419,9,34225.0,3802.78,5534.78,-5000.0,10000.0,45775,0
CustomerId_1420,10,11850.0,1185.0,1680.25,-1000.0,5000.0,15640,0
CustomerId_1421,10,29810.0,2981.0,6228.61,-1000.0,20000.0,32190,0
CustomerId_1422,3,14000.0,4666.67,7252.15,-20.0,13020.0,14040,0
CustomerId_1423,14,8360.0,597.14,883.28,-50.0,3000.0,8640,0
CustomerId_1424,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1425,36,58890.0,1635.83,5203.84,-1000.0,30000.0,63110,0
CustomerId_1426,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1427,30,120000.0,4000.0,7655.42,-5000.0,20000.0,222800,0
CustomerId_1429,36,181640.0,5045.56,9732.2,-5000.0,40000.0,223360,0
CustomerId_1431,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1432,1,2000.0,2000.0,,2000.0,2000.0,2000,0
CustomerId_1435,29,110000.0,3793.1,5542.69,-5000.0,10000.0,162200,0
CustomerId_1436,4,9000.0,2250.0,6601.77,-5000.0,10000.0,21000,0
CustomerId_1437,1,20000.0,20000.0,,20000.0,20000.0,20000,0
CustomerId_1438,32,145071.0,4533.47,8857.16,-5000.0,29000.0,180695,0
CustomerId_1439,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1440,4,440.0,110.0,837.5,-1000.0,950.0,2460,0
CustomerId_1441,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1442,9,40000.0,4444.44,6463.57,-5000.0,10000.0,62000,0
CustomerId_1443,2,2000.0,1000.0,0.0,1000.0,1000.0,2000,0
CustomerId_1444,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1445,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1447,8,9850.0,1231.25,1847.19,-1000.0,5000.0,12150,0
CustomerId_1448,3,3500.0,1166.67,577.35,500.0,1500.0,3500,0
CustomerId_1449,27,492768.0,18250.67,43571.03,-2000.0,150000.0,504432,0
CustomerId_1450,9,60725.0,6747.22,16366.27,-1000.0,50000.0,63275,0
CustomerId_1451,18,18550.0,1030.56,2436.94,-1000.0,10000.0,20850,0
CustomerId_1452,11,24600.0,2236.36,3194.61,-250.0,10000.0,25400,0
CustomerId_1453,11,20175.0,1834.09,2613.24,-1000.0,7000.0,22825,0
CustomerId_1454,14,60000.0,4285.71,6877.26,-5000.0,11000.0,102000,0
CustomerId_1455,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1458,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1459,1,10000.0,10000.0,,10000.0,10000.0,14000,0
CustomerId_1461,42,65600.0,1561.9,2612.76,-1000.0,10000.0,69400,0
CustomerId_1464,4,10000.0,2500.0,6757.71,-5000.0,10000.0,22000,0
CustomerId_1466,7,38200.0,5457.14,6181.65,-5000.0,10700.0,52120,0
CustomerId_1467,8,-13500.0,-1687.5,1589.64,-5500.0,-600.0,14796,0
